Edad,Tipo_empleo,ID,Educacion,Tiempo_estudio,Estado_civil,Tipo_trabajo,Familia,Raza,Sexo,Ganancias,Perdidas,Hora_Trabajo,Pais,Ingresos_mayores_50k
29,4,271466,3,11,1,1,2,1,1,0,0,43, United-States,0
25,4,32275,5,10,2,3,5,5,0,0,0,40, United-States,0
18,4,226956,4,9,1,6,3,1,0,0,0,30, ?,0
47,4,51835,6,15,2,1,5,1,0,0,1902,60, Honduras,1
50,1,251585,6,13,3,3,2,1,1,0,0,55, United-States,1
47,5,109832,4,9,3,3,2,1,1,0,0,60, United-States,0
43,4,237993,5,10,2,11,1,1,1,0,0,40, United-States,1
46,4,216666,1,3,2,7,1,1,1,0,0,40, Mexico,0
35,4,56352,3,11,2,6,1,1,1,0,0,40, Puerto-Rico,0
41,4,147372,4,9,2,4,1,1,1,0,0,48, United-States,0
30,4,188146,4,9,2,7,1,1,1,5013,0,40, United-States,0
30,4,59496,6,13,2,5,1,1,1,2407,0,40, United-States,0
32,0,293936,1,4,2,0,2,1,1,0,0,40, ?,0
48,4,149640,4,9,2,8,1,1,1,0,0,40, United-States,0
42,4,116632,8,16,2,1,1,1,1,0,0,45, United-States,1
29,4,105598,5,10,3,11,2,1,1,0,0,58, United-States,0
36,4,155537,4,9,2,2,1,1,1,0,0,40, United-States,0
28,4,183175,5,10,3,4,2,1,0,0,0,40, United-States,0
53,4,169846,4,9,2,4,5,1,0,0,0,40, United-States,1
49,5,191681,5,10,2,3,1,1,1,0,0,50, United-States,1
25,0,200681,5,10,1,0,3,1,1,0,0,40, United-States,0
19,4,101509,5,10,1,1,3,1,1,0,0,32, United-States,0
31,4,309974,6,13,4,5,3,2,0,0,0,40, United-States,0
29,6,162298,6,13,2,5,1,1,1,0,0,70, United-States,1
23,4,211678,5,10,1,7,2,1,1,0,0,40, United-States,0
79,4,124744,5,10,2,1,6,1,1,0,0,20, United-States,0
27,4,213921,4,9,1,6,3,1,1,0,0,40, Mexico,0
40,4,32214,3,12,2,4,1,1,1,0,0,40, United-States,0
67,0,212759,2,6,2,0,1,1,1,0,0,2, United-States,0
18,4,309634,2,7,1,6,3,1,0,0,0,22, United-States,0
31,2,125927,1,4,2,10,1,1,1,0,0,40, United-States,0
18,4,446839,4,9,1,5,2,1,1,0,0,30, United-States,0
52,4,276515,6,13,2,6,1,1,1,0,0,40, Cuba,0
46,4,51618,4,9,2,6,5,1,0,0,0,40, United-States,0
59,4,159937,4,9,2,5,1,1,1,0,0,48, United-States,0
44,4,343591,4,9,3,2,2,1,0,14344,0,40, United-States,1
53,4,346253,4,9,3,5,3,1,0,0,0,35, United-States,0
49,2,268234,4,9,2,12,1,1,1,0,0,40, United-States,1
33,4,202051,7,14,2,1,1,1,1,0,0,50, United-States,0
30,4,54334,2,5,1,5,2,1,1,0,0,40, United-States,0
43,1,410867,8,16,1,1,2,1,0,0,0,50, United-States,1
57,4,249977,3,11,2,1,1,1,1,0,0,40, United-States,0
37,4,286730,5,10,3,2,4,1,0,0,0,40, United-States,0
28,4,212563,5,10,3,7,4,2,0,0,0,25, United-States,0
30,4,117747,4,9,2,5,5,3,0,0,1573,35, ?,0
34,2,226296,6,13,2,12,1,1,1,0,0,40, United-States,1
29,2,115585,5,10,1,9,2,1,1,0,0,50, United-States,0
48,6,191277,8,16,2,1,1,1,1,0,1902,60, United-States,1
37,4,202683,5,10,2,5,1,1,1,0,0,48, United-States,1
48,4,171095,3,12,3,3,4,1,0,0,0,40, England,0
32,1,249409,4,9,1,6,3,2,1,0,0,40, United-States,0
76,4,124191,7,14,2,3,1,1,1,0,0,40, United-States,1
44,4,198282,6,13,2,3,1,1,1,15024,0,60, United-States,1
47,6,149116,7,14,1,1,2,1,0,0,0,50, United-States,0
20,4,188300,5,10,1,11,3,1,0,0,0,40, United-States,0
29,4,103432,4,9,1,2,2,1,1,0,0,40, United-States,0
32,5,317660,4,9,2,2,1,1,1,7688,0,40, United-States,1
17,0,304873,2,6,1,0,3,1,0,34095,0,32, United-States,0
30,4,194901,2,7,1,9,3,1,1,0,0,40, United-States,0
31,2,189265,4,9,1,4,2,1,0,0,0,40, United-States,0
42,4,124692,4,9,2,9,1,1,1,0,0,40, United-States,0
24,4,432376,6,13,1,5,6,1,1,0,0,40, United-States,0
38,4,65324,6,15,2,1,1,1,1,0,0,40, United-States,1
56,6,335605,4,9,2,6,1,1,1,0,1887,50, Canada,1
28,4,377869,5,10,2,5,5,1,0,4064,0,25, United-States,0
36,4,102864,4,9,1,7,3,1,0,0,0,40, United-States,0
53,4,95647,2,5,2,9,1,1,1,0,0,50, United-States,0
56,5,303090,5,10,2,5,1,1,1,0,0,50, United-States,0
49,2,197371,3,11,2,2,1,2,1,0,0,40, United-States,1
55,4,247552,5,10,2,5,1,1,1,0,0,56, United-States,0
22,4,102632,4,9,1,2,2,1,1,0,0,41, United-States,0
21,4,199915,5,10,1,6,3,1,0,0,0,40, United-States,0
40,4,118853,6,13,2,3,1,1,1,0,0,60, United-States,0
30,4,77143,6,13,1,3,3,2,1,0,0,40, Germany,0
29,7,267989,6,13,2,1,1,1,1,0,0,50, United-States,1
19,4,301606,5,10,1,6,3,2,1,0,0,35, United-States,0
47,4,287828,6,13,2,3,5,1,0,0,0,40, United-States,1
20,4,111697,5,10,1,4,3,1,0,0,1719,28, United-States,0
31,4,114937,3,12,2,4,1,1,1,0,0,40, United-States,1
35,0,129305,4,9,2,0,1,1,1,0,0,40, United-States,0
39,4,365739,5,10,3,2,2,1,1,0,0,40, United-States,0
28,4,69621,3,12,1,5,2,1,0,0,0,60, United-States,0
24,4,43323,4,9,1,6,2,1,0,0,1762,40, United-States,0
38,6,120985,4,9,2,2,1,1,1,4386,0,35, United-States,0
37,4,254202,6,13,2,5,1,1,1,0,0,50, United-States,0
46,4,146195,3,12,3,11,2,2,0,0,0,36, United-States,0
38,1,125933,7,14,2,1,1,1,1,0,0,40, Iran,1
43,6,56920,4,9,2,2,1,1,1,0,0,60, United-States,0
27,4,163127,3,11,2,4,5,1,0,0,0,35, United-States,0
20,4,34310,5,10,1,5,3,1,1,0,0,20, United-States,0
49,4,81973,5,10,2,2,1,3,1,0,0,40, United-States,1
61,5,66614,4,9,2,2,1,1,1,0,0,40, United-States,0
27,4,232782,5,10,1,5,3,1,0,0,0,40, United-States,0
19,4,316868,5,10,1,6,3,1,1,0,0,30, Mexico,0
45,4,196584,3,11,1,1,2,1,0,0,1564,40, United-States,1
70,4,105376,5,10,1,11,6,1,1,0,0,40, United-States,0
31,4,185814,4,9,1,8,4,2,0,0,0,30, United-States,0
22,4,175374,5,10,2,6,1,1,1,0,0,24, United-States,0
36,4,108293,4,9,5,6,4,1,0,0,0,24, United-States,0
64,4,181232,2,7,2,2,1,1,1,0,2179,40, United-States,0
43,0,174662,5,10,3,0,2,1,0,0,0,40, United-States,0
47,2,186009,5,10,3,4,4,1,0,0,0,38, Mexico,0
34,4,198183,4,9,1,4,2,1,0,0,0,40, United-States,0
33,4,163003,6,13,1,3,6,3,0,0,0,40, Philippines,0
21,4,296158,4,9,1,2,3,1,1,0,0,35, United-States,0
52,0,252903,4,9,3,0,2,1,1,0,0,45, United-States,1
48,4,187715,4,9,2,2,1,1,1,0,0,46, United-States,0
23,4,214542,6,13,1,9,2,1,1,0,0,40, United-States,0
71,6,494223,5,10,4,5,4,2,1,0,1816,2, United-States,0
29,4,191535,4,9,3,2,2,1,1,0,0,60, United-States,0
42,4,228456,6,13,4,6,6,2,1,0,0,50, United-States,0
68,0,38317,1,2,3,0,2,1,0,0,0,20, United-States,0
25,4,252752,4,9,1,6,4,1,0,0,0,40, United-States,0
44,5,78374,7,14,3,3,4,3,0,0,0,40, United-States,0
28,4,88419,4,9,1,3,2,3,0,0,0,40, England,0
45,6,201080,7,14,2,5,1,1,1,0,0,40, United-States,1
36,4,207157,5,10,3,6,4,1,0,0,0,40, Mexico,0
39,1,235485,3,12,1,3,2,1,1,0,0,42, United-States,0
46,7,102628,7,14,5,12,4,1,1,0,0,40, United-States,0
18,4,25828,2,7,1,9,3,1,1,0,0,16, United-States,0
66,2,54826,3,11,5,1,2,1,0,0,0,20, United-States,0
27,4,124953,4,9,1,6,2,1,1,0,1980,40, United-States,0
28,7,175325,4,9,2,12,1,1,1,0,0,40, United-States,0
51,4,96062,5,10,2,5,1,1,1,0,1977,40, United-States,1
27,4,428030,6,13,1,2,2,1,1,0,0,50, United-States,0
28,7,149624,6,13,2,1,1,1,1,0,0,40, United-States,1
27,4,253814,4,9,2,5,4,1,0,0,0,25, United-States,0
21,4,312956,4,9,1,2,3,2,1,0,0,40, United-States,0
34,4,483777,4,9,1,9,2,2,1,0,0,40, United-States,0
18,4,183930,4,9,1,6,3,1,1,0,0,12, United-States,0
33,4,37274,6,13,2,1,1,1,1,0,0,65, United-States,0
44,2,181344,5,10,2,3,1,2,1,0,0,38, United-States,1
43,4,114580,5,10,3,4,2,1,0,0,0,40, United-States,0
30,4,633742,5,10,1,2,2,2,1,0,0,45, United-States,0
40,4,286370,1,4,2,7,1,1,1,0,0,40, Mexico,1
37,1,29054,5,10,2,4,1,1,1,0,0,42, United-States,1
34,4,304030,4,9,2,4,1,2,1,0,0,40, United-States,0
41,6,143129,6,13,3,3,2,1,0,0,0,40, United-States,0
53,0,135105,6,13,3,0,2,1,0,0,0,50, United-States,0
31,4,99928,7,14,2,1,5,1,0,0,0,50, United-States,0
58,7,109567,8,16,2,1,1,1,1,0,0,1, United-States,1
38,4,155222,5,10,3,7,2,2,0,0,0,28, United-States,0
24,4,159567,5,10,2,7,1,1,1,0,0,40, United-States,0
41,2,523910,6,13,2,2,1,2,1,0,0,40, United-States,0
47,4,120939,5,10,2,11,1,1,1,0,0,45, United-States,0
41,1,130760,6,13,2,11,1,1,1,0,0,24, United-States,0
23,4,197387,1,3,2,8,6,1,1,0,0,40, Mexico,0
36,4,99374,5,10,3,2,2,1,1,0,0,40, United-States,0
40,1,56795,7,14,1,3,2,1,0,14084,0,55, United-States,1
35,4,138992,7,14,2,1,6,1,1,7298,0,40, United-States,1
24,6,32921,4,9,1,5,2,1,1,0,0,40, United-States,0
26,4,397317,7,14,1,1,2,1,0,0,1876,40, United-States,0
19,0,170653,4,9,1,0,3,1,1,0,0,40, Italy,0
51,4,259323,6,13,2,3,1,1,1,0,0,50, United-States,1
42,2,254817,5,10,1,1,2,1,0,0,1340,40, United-States,0
37,7,48211,4,9,3,4,4,1,0,0,0,35, United-States,0
18,4,140164,2,7,1,5,3,1,0,0,0,40, United-States,0
36,4,128757,6,13,2,6,1,2,1,7298,0,36, United-States,1
35,4,36270,4,9,3,2,2,1,1,0,0,60, United-States,0
58,5,210563,4,9,2,5,5,1,0,15024,0,35, United-States,1
17,4,65368,2,7,1,5,3,1,0,0,0,12, United-States,0
44,2,160943,4,9,2,8,1,2,1,0,0,40, United-States,0
37,4,208358,4,9,2,2,1,1,1,0,0,40, United-States,1
35,4,153790,5,10,1,5,2,4,0,0,0,40, United-States,0
60,4,85815,4,9,2,2,1,3,1,0,0,40, United-States,0
54,5,125417,1,4,2,7,1,1,1,0,0,40, United-States,1
37,4,635913,6,13,1,3,2,2,1,0,0,60, United-States,1
50,4,313321,3,12,3,5,2,1,0,0,0,40, United-States,0
38,4,182609,6,13,2,5,1,1,1,0,0,50, Poland,0
45,4,109434,6,13,2,1,1,1,1,0,0,55, United-States,0
25,4,255004,2,6,1,2,2,1,1,0,0,40, United-States,0
31,4,197860,5,10,2,9,1,1,1,0,0,40, United-States,0
64,0,187656,1,2,3,0,2,1,1,0,0,40, United-States,0
90,4,51744,4,9,1,6,2,2,1,0,2206,40, United-States,0
54,4,176681,4,9,2,4,1,2,1,0,0,20, United-States,0
53,2,140359,0,1,1,7,2,1,0,0,0,35, United-States,0
18,4,243313,4,9,1,5,3,1,0,0,0,40, United-States,0
60,0,24215,2,6,3,0,2,4,0,0,0,10, United-States,0
66,6,167687,4,9,2,10,1,1,1,1409,0,50, United-States,0
75,4,314209,3,11,5,4,2,1,0,0,0,20, Columbia,0
65,4,176796,4,9,3,4,2,1,0,0,0,40, United-States,0
35,4,538583,2,7,4,8,2,2,1,3674,0,40, United-States,0
41,4,130408,4,9,3,5,4,2,0,0,0,38, United-States,0
25,4,159732,5,10,1,4,2,1,1,0,0,42, United-States,0
33,4,110978,5,10,3,2,6,5,0,0,0,40, United-States,0
28,4,76714,6,15,1,1,2,1,1,0,0,55, United-States,1
59,7,268700,4,9,2,6,1,1,1,0,0,40, United-States,0
40,7,170525,5,10,1,4,2,1,0,0,0,38, United-States,0
41,4,180138,6,13,2,3,1,1,1,0,0,50, Iran,1
38,2,115076,7,14,2,3,1,1,1,0,0,70, United-States,1
23,4,115458,4,9,1,8,3,1,1,0,0,40, United-States,0
40,4,347890,6,13,2,1,1,1,1,0,0,40, United-States,1
41,6,196001,4,9,2,6,5,1,0,0,0,20, United-States,0
24,7,273905,3,12,2,12,1,1,1,0,0,50, United-States,0
20,0,119156,5,10,1,0,3,1,1,0,0,20, United-States,0
38,4,179488,5,10,3,2,2,1,1,0,1741,40, United-States,0
56,4,203580,4,9,2,4,1,1,1,0,0,35, ?,0
58,4,236596,4,9,2,4,1,1,1,0,0,45, United-States,1
32,4,183916,4,9,1,6,2,1,0,0,0,34, United-States,0
40,4,207578,3,12,2,11,1,1,1,0,1977,60, United-States,1
45,4,153141,4,9,2,4,1,1,1,0,0,40, ?,0
41,4,112763,6,15,2,1,5,1,0,0,0,40, United-States,1
42,4,390781,6,13,2,4,5,2,0,0,0,40, United-States,0
59,2,171328,2,6,5,6,4,2,0,0,0,30, United-States,0
19,2,27382,5,10,1,4,3,1,1,0,0,40, United-States,0
58,4,259014,5,10,1,8,2,1,1,0,0,20, United-States,0
42,6,303044,4,9,2,10,1,3,1,0,0,40, Cambodia,1
20,4,117789,4,9,1,6,3,1,0,0,0,40, United-States,0
32,4,172579,4,9,4,6,2,1,0,0,0,30, United-States,0
45,4,187666,3,11,5,3,2,1,0,0,0,45, United-States,0
50,4,204518,1,4,3,2,2,1,1,0,0,40, United-States,0
36,4,150042,6,13,3,1,3,1,0,0,0,40, United-States,0
45,4,98092,4,9,2,5,1,1,1,0,0,60, United-States,0
17,4,245918,2,7,1,6,3,1,1,0,0,12, United-States,0
59,4,146013,5,10,2,5,1,1,1,4064,0,40, United-States,0
26,4,378322,2,7,2,2,1,1,1,0,0,40, United-States,0
37,5,257295,5,10,2,3,1,3,1,0,0,75, Thailand,1
19,0,218956,5,10,1,0,3,1,1,0,0,24, Canada,0
64,4,21174,4,9,2,3,1,1,1,0,0,40, United-States,1
33,4,185480,6,13,1,1,2,1,0,0,0,45, United-States,0
33,4,222205,4,9,2,2,5,1,0,0,0,40, United-States,1
61,4,69867,4,9,2,3,1,1,1,0,0,40, United-States,1
17,4,191260,2,5,1,6,3,1,1,1055,0,24, United-States,0
50,6,30653,7,14,2,10,1,1,1,2407,0,98, United-States,0
27,2,209109,7,14,1,1,3,1,1,0,0,35, United-States,0
30,4,70377,4,9,3,1,3,1,0,0,0,40, United-States,0
43,4,477983,4,9,2,9,1,2,1,0,0,40, United-States,0
44,4,170924,5,10,2,2,1,1,1,7298,0,40, United-States,1
35,4,190174,5,10,1,3,2,1,0,0,0,40, United-States,0
25,4,193787,5,10,1,11,3,1,0,0,0,40, United-States,0
24,4,279472,5,10,2,7,5,1,0,7298,0,48, United-States,1
22,4,34918,6,13,1,1,2,1,0,0,0,15, Germany,0
42,2,97688,5,10,2,2,1,1,1,5178,0,40, United-States,1
34,4,175413,3,12,3,5,4,2,0,0,0,45, United-States,0
60,4,173960,6,13,3,1,2,1,0,0,0,42, United-States,0
21,4,205759,4,9,1,9,3,1,1,0,0,40, United-States,0
57,1,425161,7,14,2,5,1,1,1,15024,0,40, United-States,1
41,4,220531,6,15,2,1,1,1,1,0,0,60, United-States,1
50,4,176609,5,10,3,6,2,1,1,0,0,45, United-States,0
25,4,371987,6,13,1,3,2,1,0,0,0,40, United-States,0
50,4,193884,1,4,2,2,1,1,1,0,0,40, Ecuador,0
36,4,200352,6,13,2,1,1,1,1,0,0,45, United-States,0
31,4,127595,4,9,3,1,2,1,0,0,0,40, United-States,0
29,2,220419,6,13,1,12,2,1,1,0,0,56, United-States,0
21,4,231931,5,10,1,5,3,1,1,0,0,45, United-States,0
27,4,248402,6,13,1,11,4,2,0,0,0,40, United-States,0
65,4,111095,4,9,2,8,1,1,1,0,0,16, United-States,0
37,5,57424,6,13,3,5,2,1,0,0,0,60, United-States,0
39,0,157443,7,14,2,0,5,3,0,3464,0,40, ?,0
24,4,278130,4,9,1,2,3,1,1,0,0,40, United-States,0
38,4,169469,4,9,3,5,2,1,1,0,0,80, United-States,0
48,4,146268,6,13,2,4,1,1,1,7688,0,40, United-States,1
21,4,153718,5,10,1,6,2,3,0,0,0,25, United-States,0
31,4,217460,4,9,2,8,1,1,1,0,0,45, United-States,1
55,4,238638,4,9,2,5,1,1,1,4386,0,40, United-States,1
24,4,303296,5,10,2,4,5,3,0,0,0,40, Laos,0
43,4,173321,4,9,3,4,2,1,0,0,0,40, United-States,0
26,4,193945,3,12,1,11,2,1,1,0,0,45, United-States,0
46,4,83082,3,12,1,1,2,1,0,0,0,33, United-States,0
35,4,193815,3,12,2,4,1,1,1,0,0,40, United-States,1
41,5,34987,5,10,2,10,1,1,1,0,0,54, United-States,1
26,4,59306,6,13,1,5,2,1,1,0,0,40, United-States,0
34,4,142897,7,14,2,3,1,3,1,7298,0,35, Taiwan,1
19,0,860348,5,10,1,0,3,2,0,0,0,25, United-States,0
36,6,205607,6,13,3,1,2,2,0,0,0,40, United-States,1
22,4,199698,5,10,1,5,3,1,1,0,0,15, United-States,0
24,4,191954,5,10,1,7,2,1,1,0,0,40, United-States,0
77,6,138714,5,10,2,5,1,1,1,0,0,40, United-States,0
22,4,399087,1,3,2,7,6,1,0,0,0,40, Mexico,0
29,4,423158,5,10,1,11,2,1,0,0,0,40, United-States,0
62,4,159841,4,9,5,6,2,1,0,0,0,24, United-States,0
39,6,174308,4,9,2,3,1,1,1,0,0,40, United-States,0
43,4,50356,5,10,2,2,1,1,1,0,1485,50, United-States,0
35,4,186110,4,9,3,8,2,1,1,0,0,45, United-States,0
29,4,200381,2,7,1,3,2,1,0,0,0,40, United-States,0
76,6,174309,7,14,2,2,1,1,1,0,0,10, United-States,0
63,6,78383,4,9,2,10,1,1,1,0,0,45, United-States,0
23,0,211601,3,11,1,0,3,2,0,0,0,15, United-States,0
43,4,187728,5,10,2,1,5,1,0,0,1887,50, United-States,1
58,6,321171,4,9,2,9,1,1,1,0,0,40, United-States,0
66,4,127921,4,9,1,8,2,1,1,2050,0,55, United-States,0
41,4,206565,5,10,1,2,2,2,1,0,0,45, United-States,0
26,4,224563,6,13,1,4,2,1,1,0,0,40, United-States,0
47,4,178686,3,11,1,6,2,1,1,0,0,40, United-States,0
55,2,98545,2,6,2,4,1,1,1,0,0,40, United-States,0
53,4,242606,4,9,2,8,1,1,1,0,0,40, United-States,0
17,4,270942,1,3,1,6,6,1,1,0,0,48, Mexico,0
30,4,94235,4,9,1,2,6,1,1,0,0,40, United-States,0
49,4,71195,7,14,1,1,2,1,1,0,0,60, United-States,0
19,4,104112,4,9,1,5,4,2,1,0,0,30, Haiti,0
45,4,261192,4,9,2,6,1,2,1,0,0,40, United-States,0
26,4,94936,3,12,1,5,2,1,1,0,0,40, United-States,0
38,4,296478,3,11,2,2,1,1,1,7298,0,40, United-States,1
36,7,119272,4,9,2,12,1,1,1,7298,0,40, United-States,1
33,4,85043,4,9,1,10,2,1,1,0,0,20, United-States,0
22,7,293364,5,10,1,12,3,2,0,0,0,40, United-States,0
43,6,241895,6,13,1,5,2,1,1,0,0,42, United-States,0
67,0,36135,2,7,2,0,1,1,1,0,0,8, United-States,0
30,0,151989,3,11,3,0,4,1,0,0,0,40, United-States,0
56,4,101128,3,12,2,6,2,1,1,0,0,25, Iran,0
31,4,156464,6,13,1,1,3,1,1,0,0,25, United-States,0
33,4,117963,6,13,2,3,1,1,1,0,0,40, United-States,1
26,4,192262,4,9,2,6,1,1,1,0,0,40, United-States,0
33,4,111363,6,13,2,3,1,1,1,0,0,40, United-States,1
46,2,329752,2,7,2,8,1,1,1,0,0,30, United-States,0
59,0,372020,6,13,2,0,1,1,1,0,0,40, United-States,1
38,1,95432,4,9,2,4,1,1,1,0,0,40, United-States,1
65,4,161400,2,7,5,6,4,5,1,0,0,40, United-States,0
40,4,96129,3,11,2,11,1,1,1,0,0,40, United-States,1
42,4,111949,4,9,2,4,5,1,0,0,0,35, United-States,0
26,6,117125,2,5,2,2,1,1,1,0,0,40, Portugal,0
36,4,348022,2,6,2,6,5,1,0,0,0,24, United-States,0
62,4,270092,7,14,2,1,1,1,1,0,0,40, United-States,1
43,4,180609,6,13,2,8,1,1,1,0,0,45, United-States,0
43,4,174575,6,13,3,3,2,1,1,0,1564,45, United-States,1
22,4,410439,4,9,2,5,2,1,1,0,0,55, United-States,0
28,4,92262,4,9,2,2,1,1,1,0,0,40, United-States,0
56,6,183081,5,10,2,5,1,1,1,0,0,45, United-States,0
22,4,362589,3,12,1,5,2,1,0,0,0,15, United-States,0
57,4,212448,6,13,3,3,2,1,0,0,0,45, United-States,1
39,4,481060,4,9,3,5,4,1,0,0,0,40, United-States,0
26,1,185885,5,10,1,4,4,1,0,0,0,15, United-States,0
17,4,89821,2,7,1,6,3,1,1,0,0,10, United-States,0
40,7,184018,3,11,2,7,1,1,1,0,0,38, United-States,1
45,4,256649,4,9,2,7,1,2,1,0,0,40, United-States,0
44,4,160323,4,9,1,2,2,2,1,0,0,40, United-States,0
20,2,350845,5,10,1,4,3,1,0,0,0,10, United-States,0
33,4,267404,4,9,2,2,5,1,0,0,0,40, United-States,0
23,4,35633,5,10,1,5,2,1,1,0,0,40, United-States,0
46,6,80914,7,14,3,3,2,1,1,0,0,30, United-States,0
38,4,172927,4,9,2,5,1,1,1,0,0,50, United-States,0
54,4,174319,4,9,3,8,2,1,1,0,0,40, United-States,0
46,4,214955,1,3,3,2,2,1,0,0,2339,45, United-States,0
25,4,344991,5,10,2,2,1,1,1,0,0,40, United-States,0
46,4,108699,5,10,3,5,2,1,0,0,0,40, United-States,0
36,2,117312,5,10,2,8,5,1,0,0,0,40, United-States,0
23,4,396099,4,9,1,6,2,1,0,0,0,25, United-States,0
29,4,134152,4,9,4,7,2,1,1,0,0,40, United-States,0
44,4,162028,5,10,2,4,5,1,0,0,2415,6, United-States,1
19,4,25429,5,10,1,4,3,1,0,0,0,16, United-States,0
19,4,232392,4,9,1,6,6,1,0,0,0,40, United-States,0
35,4,220098,4,9,2,6,5,1,0,0,0,40, United-States,1
27,4,301302,6,13,1,2,2,1,1,0,0,50, United-States,0
46,6,277946,3,12,4,2,2,1,1,0,0,40, United-States,0
34,7,98101,6,13,2,3,1,1,1,7688,0,45, ?,1
34,4,196164,4,9,1,6,2,1,0,0,0,35, United-States,0
44,4,115562,5,10,2,11,1,1,1,0,0,40, United-States,0
45,4,96975,5,10,3,9,4,1,0,0,0,40, United-States,0
20,0,137300,4,9,1,0,6,1,0,0,0,35, United-States,0
25,4,86872,6,13,2,3,1,1,1,0,0,55, United-States,1
52,5,132178,6,13,2,3,1,1,1,0,0,50, United-States,1
20,4,416103,5,10,1,9,3,1,1,0,0,40, United-States,0
28,4,108574,5,10,1,6,2,1,0,0,0,40, United-States,0
50,7,288353,6,13,2,12,1,1,1,0,0,40, United-States,1
34,4,227689,3,11,3,11,2,1,0,0,0,64, United-States,0
28,4,166481,1,4,2,9,1,5,1,0,2179,40, Puerto-Rico,0
41,4,445382,7,14,2,3,1,1,1,0,1977,65, United-States,1
28,4,110145,4,9,2,4,1,1,1,0,0,40, United-States,0
46,6,317253,4,9,2,2,1,1,1,0,0,25, United-States,0
28,0,123147,5,10,2,0,5,1,0,0,1887,40, United-States,1
32,4,364657,5,10,2,3,1,1,1,0,0,50, United-States,0
41,2,42346,5,10,3,6,2,2,0,0,0,24, United-States,0
24,4,241951,4,9,1,9,4,2,0,0,0,40, United-States,0
33,4,118500,5,10,3,3,4,1,0,0,0,40, United-States,0
46,4,188386,8,16,2,3,1,1,1,15024,0,60, United-States,1
31,7,1033222,5,10,2,7,1,1,1,0,0,40, United-States,0
